#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,,Very Weak (<300),Normal / Flying,True,6.5,4.6,Slow
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,,Weak (300-399),Normal / Flying,True,22.6,25.3,Average
18,Pidgeot,Normal,Flying,579,83,80,80,135,80,121,Mega,Strong (500-579),Normal / Flying,True,89.0,64.1,Fast
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,,Average (400-499),Normal / Flying,True,50.3,55.900000000000006,Fast
19,Rattata,Dark,Normal,253,30,56,35,25,35,72,Alolan,Very Weak (<300),Dark / Normal,True,7.6,2.1,Average
19,Rattata,Normal,,253,30,56,35,25,35,72,,Very Weak (<300),Normal,False,7.6,2.1,Average
20,Raticate,Dark,Normal,413,75,71,70,40,80,77,Alolan,Average (400-499),Dark / Normal,True,24.099999999999998,54.800000000000004,Average
20,Raticate,Normal,,413,55,81,60,50,70,97,,Average (400-499),Normal,False,36.0,33.800000000000004,Average
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,,Very Weak (<300),Normal / Flying,True,12.3,2.5,Slow
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,,Average (400-499),Normal / Flying,True,52.0,37.6,Average
23,Ekans,Poison,,288,35,60,44,40,54,55,,Very Weak (<300),Poison,False,16.6,10.9,Slow
24,Arbok,Poison,,448,60,95,69,65,79,80,,Average (400-499),Poison,False,56.3,44.800000000000004,Average
25,Pikachu,Electric,,430,45,80,50,75,60,120,Partner,Average (400-499),Electric,False,53.300000000000004,19.7,Fast
25,Pikachu,Electric,,320,35,55,40,50,50,90,,Weak (300-399),Electric,False,19.400000000000002,7.6,Average
26,Raichu,Electric,Psychic,485,60,85,50,95,85,110,Alolan,Average (400-499),Electric / Psychic,True,70.3,39.2,Fast
26,Raichu,Electric,,485,60,90,55,90,80,110,,Average (400-499),Electric,False,70.3,39.2,Fast
27,Sandshrew,Steel,,300,50,75,90,10,35,40,Alolan,Very Weak (<300),Steel,False,8.6,29.4,Very Slow
27,Sandshrew,Ground,,300,50,75,85,20,30,40,,Very Weak (<300),Ground,False,13.8,24.099999999999998,Very Slow
28,Sandslash,Steel,,450,75,100,120,25,65,65,Alolan,Average (400-499),Steel,False,32.1,73.0,Slow
28,Sandslash,Ground,,450,75,100,110,45,55,65,,Average (400-499),Ground,False,46.0,62.3,Slow
29,Nidoran?,Poison,,275,55,47,52,40,40,41,,Very Weak (<300),Poison,False,9.5,16.7,Very Slow
30,Nidorina,Poison,,365,70,62,67,55,55,56,,Weak (300-399),Poison,False,27.0,37.9,Slow
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,,Strong (500-579),Poison / Ground,True,60.9,74.5,Average
32,Nidoran?,Poison,,273,46,57,40,40,40,50,,Very Weak (<300),Poison,False,14.7,8.1,Slow
33,Nidorino,Poison,,365,61,72,57,55,55,65,,Weak (300-399),Poison,False,33.0,28.1,Slow
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,,Strong (500-579),Poison / Ground,True,75.0,58.199999999999996,Average
35,Clefairy,Fairy,Fairy,323,70,45,48,60,65,35,,Weak (300-399),Fairy / Fairy,True,19.400000000000002,32.7,Very Slow
36,Clefable,Fairy,,483,95,70,73,95,90,60,,Average (400-499),Fairy,False,59.5,71.6,Slow
37,Vulpix,Ice,,299,38,41,40,50,65,65,Alolan,Very Weak (<300),Ice,False,12.3,14.000000000000002,Slow
37,Vulpix,Fire,,299,38,41,40,50,65,65,,Very Weak (<300),Fire,False,12.3,14.000000000000002,Slow
38,Ninetales,Fairy,,505,73,67,75,81,100,109,Alolan,Strong (500-579),Fairy,False,48.4,65.8,Fast
38,Ninetales,Fire,,505,73,76,75,81,100,100,,Strong (500-579),Fire,False,54.400000000000006,65.8,Average
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,,Very Weak (<300),Normal / Fairy,True,10.8,21.8,Very Slow
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,,Average (400-499),Normal / Fairy,True,53.300000000000004,59.199999999999996,Very Slow
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,,Very Weak (<300),Poison / Flying,True,5.2,4.6,Slow
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,,Average (400-499),Poison / Flying,True,46.0,52.2,Average
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,,Weak (300-399),Grass / Poison,True,32.1,24.099999999999998,Very Slow
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,,Weak (300-399),Grass / Poison,True,50.3,43.6,Very Slow
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,,Average (400-499),Grass / Poison,True,76.3,67.5,Slow
46,Paras,Bug,Grass,285,35,70,55,45,55,25,,Very Weak (<300),Bug / Grass,True,25.7,15.2,Very Slow
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,,Average (400-499),Bug / Grass,True,53.300000000000004,52.2,Very Slow
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,,Weak (300-399),Bug / Poison,True,13.8,24.099999999999998,Very Slow
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,,Average (400-499),Bug / Poison,True,53.300000000000004,43.6,Average
50,Diglett,Ground,,265,10,55,25,35,45,95,,Very Weak (<300),Ground,False,10.8,0.3,Average
51,Dugtrio,Ground,,425,35,100,50,50,70,120,,Average (400-499),Ground,False,50.3,19.7,Fast
52,Meowth,Normal,,290,40,45,35,40,40,90,,Very Weak (<300),Normal,False,8.6,4.6,Average
53,Persian,Dark,,440,65,60,60,75,65,115,Alolan,Average (400-499),Dark,False,37.6,36.4,Fast
53,Persian,Normal,,440,65,70,60,65,65,115,,Average (400-499),Normal,False,37.6,36.4,Fast
54,Psyduck,Water,,320,50,52,48,65,50,55,,Weak (300-399),Water,False,27.0,16.900000000000002,Slow
55,Golduck,Water,,500,80,82,78,95,80,85,,Average (400-499),Water,False,68.4,60.5,Average
56,Mankey,Fighting,,305,40,80,35,35,45,70,,Weak (300-399),Fighting,False,25.7,6.1,Slow
57,Primeape,Fighting,,455,65,105,60,60,70,95,,Average (400-499),Fighting,False,59.5,39.2,Average
58,Growlithe,Fire,Rock,350,60,75,45,65,50,55,Hisuian,Weak (300-399),Fire / Rock,True,41.6,19.7,Slow
58,Growlithe,Fire,,350,55,70,45,70,50,60,,Weak (300-399),Fire,False,41.6,17.599999999999998,Slow
59,Arcanine,Fire,Rock,555,95,115,80,95,80,90,Hisuian,Strong (500-579),Fire / Rock,True,87.3,70.39999999999999,Average
59,Arcanine,Fire,,555,90,110,80,100,80,95,,Strong (500-579),Fire,False,87.3,67.5,Average
60,Poliwag,Water,,300,40,50,40,40,40,90,,Very Weak (<300),Water,False,10.8,6.1,Average
61,Poliwhirl,Water,,385,65,65,65,50,50,90,,Weak (300-399),Water,False,25.7,31.6,Average
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,,Strong (500-579),Water / Fighting,True,59.5,81.8,Slow
63,Abra,Psychic,,310,25,20,15,105,55,90,,Weak (300-399),Psychic,False,32.1,1.4000000000000001,Average
64,Kadabra,Psychic,,400,40,35,30,120,70,105,,Weak (300-399),Psychic,False,53.300000000000004,13.3,Fast
65,Alakazam,Psychic,,600,55,50,65,175,105,150,Mega,Very Strong (580-699),Psychic,False,91.60000000000001,54.800000000000004,Very Fast
65,Alakazam,Psychic,,500,55,50,45,135,95,120,,Average (400-499),Psychic,False,74.0,39.2,Fast
66,Machop,Fighting,,305,70,80,50,35,35,35,,Weak (300-399),Fighting,False,25.7,19.7,Very Slow
67,Machoke,Fighting,,405,80,100,70,50,60,45,,Average (400-499),Fighting,False,50.3,46.1,Very Slow
68,Machamp,Fighting,,505,90,130,80,65,85,55,,Strong (500-579),Fighting,False,79.80000000000001,70.39999999999999,Slow
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,,Very Weak (<300),Grass / Poison,True,46.0,4.6,Very Slow
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,,Weak (300-399),Grass / Poison,True,67.0,21.8,Slow
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,,Average (400-499),Grass / Poison,True,85.2,48.699999999999996,Slow
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,,Weak (300-399),Water / Poison,True,10.8,29.4,Slow
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,,Strong (500-579),Water / Poison,True,50.3,76.1,Average
74,Geodude,Rock,Electric,300,40,80,100,30,30,20,Alolan,Very Weak (<300),Rock / Electric,True,22.6,26.900000000000002,Very Slow
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,,Very Weak (<300),Rock / Ground,True,22.6,26.900000000000002,Very Slow
75,Graveler,Rock,Electric,390,55,95,115,45,45,35,Alolan,Weak (300-399),Rock / Electric,True,41.6,48.699999999999996,Very Slow
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,,Weak (300-399),Rock / Ground,True,41.6,48.699999999999996,Very Slow
76,Golem,Rock,Electric,495,80,120,130,55,65,45,Alolan,Average (400-499),Rock / Electric,True,67.0,81.8,Very Slow
76,Golem,Rock,Ground,495,80,120,130,55,65,45,,Average (400-499),Rock / Ground,True,67.0,81.8,Very Slow
77,Ponyta,Psychic,,410,50,85,55,65,65,90,Galarian,Average (400-499),Psychic,False,50.3,26.900000000000002,Average
77,Ponyta,Fire,,410,50,85,55,65,65,90,,Average (400-499),Fire,False,50.3,26.900000000000002,Average
78,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,Galarian,Average (400-499),Psychic / Fairy,True,70.3,48.699999999999996,Fast
78,Rapidash,Fire,,500,65,100,70,80,80,105,,Average (400-499),Fire,False,70.3,48.699999999999996,Fast
79,Slowpoke,Psychic,,315,90,65,65,40,40,15,Galarian,Weak (300-399),Psychic,False,19.400000000000002,39.2,Very Slow
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,,Weak (300-399),Water / Psychic,True,19.400000000000002,39.2,Very Slow
80,Slowbro,Poison,Psychic,490,95,100,95,100,70,30,Galarian,Average (400-499),Poison / Psychic,True,82.69999999999999,73.0,Very Slow
80,Slowbro,Water,Psychic,590,95,75,180,130,80,30,Mega,Very Strong (580-699),Water / Psychic,True,85.2,98.3,Very Slow
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,,Average (400-499),Water / Psychic,True,67.0,85.3,Very Slow
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,,Weak (300-399),Electric / Steel,True,34.699999999999996,17.599999999999998,Very Slow
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,,Average (400-499),Electric / Steel,True,70.3,48.699999999999996,Slow
83,Farfetch'd,Fighting,,377,52,95,55,58,62,55,Galarian,Weak (300-399),Fighting,False,52.1,25.7,Slow
83,Farfetchd,Normal,Flying,377,52,90,55,58,62,60,,Weak (300-399),Normal / Flying,True,48.4,25.7,Slow
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,,Weak (300-399),Normal / Flying,True,29.2,4.6,Average
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,,Average (400-499),Normal / Flying,True,63.3,36.4,Fast
86,Seel,Water,,325,65,45,55,45,70,45,,Weak (300-399),Water,False,10.8,36.4,Very Slow
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,,Average (400-499),Water / Ice,True,41.6,76.1,Slow
88,Grimer,Poison,Dark,325,80,80,50,40,50,25,Alolan,Weak (300-399),Poison / Dark,True,29.2,31.6,Very Slow
88,Grimer,Poison,,325,80,80,50,40,50,25,,Weak (300-399),Poison,False,29.2,31.6,Very Slow
89,Muk,Poison,Dark,500,105,105,75,65,100,50,Alolan,Average (400-499),Poison / Dark,True,63.3,83.6,Slow
89,Muk,Poison,,500,105,105,75,65,100,50,,Average (400-499),Poison,False,63.3,83.6,Slow
90,Shellder,Water,,305,30,65,100,45,25,40,,Weak (300-399),Water,False,22.6,19.7,Very Slow
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,,Strong (500-579),Water / Ice,True,70.3,81.8,Slow
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,,Weak (300-399),Ghost / Poison,True,37.6,1.4000000000000001,Average
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,,Average (400-499),Ghost / Poison,True,59.5,15.2,Average
94,Gengar,Ghost,Poison,600,60,65,80,170,95,130,Mega,Very Strong (580-699),Ghost / Poison,True,93.4,59.199999999999996,Fast
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,,Average (400-499),Ghost / Poison,True,79.80000000000001,39.2,Fast
95,Onix,Rock,Ground,385,35,45,160,30,45,70,,Weak (300-399),Rock / Ground,True,5.2,62.3,Slow
96,Drowzee,Psychic,,328,60,48,45,43,90,42,,Weak (300-399),Psychic,False,12.3,39.2,Very Slow
97,Hypno,Psychic,,483,85,73,70,73,115,67,,Average (400-499),Psychic,False,47.699999999999996,78.9,Slow
98,Krabby,Water,,325,30,105,90,25,25,50,,Weak (300-399),Water,False,34.699999999999996,15.2,Slow
99,Kingler,Water,,475,55,130,115,50,50,75,,Average (400-499),Water,False,70.3,52.2,Average
100,Voltorb,Electric,Grass,330,40,30,50,55,55,100,Hisuian,Weak (300-399),Electric / Grass,True,8.6,15.2,Average
100,Voltorb,Electric,,330,40,30,50,55,55,100,,Weak (300-399),Electric,False,8.6,15.2,Average
101,Electrode,Electric,Grass,490,60,50,70,80,80,150,Hisuian,Average (400-499),Electric / Grass,True,34.699999999999996,46.1,Very Fast
101,Electrode,Electric,,490,60,50,70,80,80,150,,Average (400-499),Electric,False,34.699999999999996,46.1,Very Fast
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,,Weak (300-399),Grass / Psychic,True,16.6,33.800000000000004,Very Slow
103,Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,Alolan,Strong (500-579),Grass / Dragon,True,92.7,70.39999999999999,Very Slow
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,,Strong (500-579),Grass / Psychic,True,90.4,70.39999999999999,Slow
104,Cubone,Ground,,320,50,50,95,40,50,35,,Weak (300-399),Ground,False,10.8,39.2,Very Slow
105,Marowak,Fire,Ghost,425,60,80,110,50,80,45,Alolan,Average (400-499),Fire / Ghost,True,34.699999999999996,67.5,Very Slow
105,Marowak,Ground,,425,60,80,110,50,80,45,,Average (400-499),Ground,False,34.699999999999996,67.5,Very Slow
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,,Average (400-499),Fighting,False,53.300000000000004,47.3,Average
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,,Average (400-499),Fighting,False,41.6,60.8,Average
108,Lickitung,Normal,,385,90,55,75,60,75,30,,Weak (300-399),Normal,False,25.7,62.3,Very Slow
109,Koffing,Poison,,340,40,65,95,60,45,35,,Weak (300-399),Poison,False,32.1,31.6,Very Slow
110,Weezing,Poison,Fairy,490,65,90,120,85,70,60,Galarian,Average (400-499),Poison / Fairy,True,67.0,70.39999999999999,Slow
110,Weezing,Poison,,490,65,90,120,85,70,60,,Average (400-499),Poison,False,67.0,70.39999999999999,Slow
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,,Weak (300-399),Ground / Rock,True,25.7,43.6,Very Slow
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,,Average (400-499),Ground / Rock,True,67.0,78.9,Very Slow
113,Chansey,Normal,,450,250,5,5,35,105,50,,Average (400-499),Normal,False,0.6,98.6,Slow
114,Tangela,Grass,,435,65,55,115,100,40,60,,Average (400-499),Grass,False,53.300000000000004,52.2,Slow
115,Kangaskhan,Normal,,590,105,125,100,60,100,100,Mega,Very Strong (580-699),Normal,False,74.0,91.2,Average
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,,Average (400-499),Normal,False,37.6,76.1,Average
116,Horsea,Water,,295,30,40,70,70,25,60,,Very Weak (<300),Water,False,22.6,7.6,Slow
117,Seadra,Water,,440,55,65,95,95,45,85,,Average (400-499),Water,False,56.3,39.2,Average
118,Goldeen,Water,,320,45,67,60,35,50,63,,Weak (300-399),Water,False,18.099999999999998,19.7,Slow
119,Seaking,Water,,450,80,92,65,65,80,68,,Average (400-499),Water,False,54.400000000000006,54.800000000000004,Slow
120,Staryu,Water,,340,30,45,55,70,55,85,,Weak (300-399),Water,False,25.7,13.3,Average
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,,Strong (500-579),Water / Psychic,True,67.0,57.099999999999994,Fast
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,,Average (400-499),Psychic / Fairy,True,46.0,54.800000000000004,Average
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,,Average (400-499),Bug / Flying,True,59.5,57.099999999999994,Fast
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,,Average (400-499),Ice / Psychic,True,59.5,39.2,Average
125,Electabuzz,Electric,,490,65,83,57,95,85,105,,Average (400-499),Electric,False,68.5,44.4,Fast
126,Magmar,Fire,,495,65,95,57,100,85,93,,Average (400-499),Fire,False,79.80000000000001,44.4,Average
127,Pinsir,Bug,Flying,600,65,155,120,65,90,105,Mega,Very Strong (580-699),Bug / Flying,True,90.4,81.8,Fast
127,Pinsir,Bug,,500,65,125,100,55,70,85,,Average (400-499),Bug,False,70.3,59.199999999999996,Average
128,Tauros,Normal,,490,75,100,95,40,70,110,,Average (400-499),Normal,False,41.6,62.3,Fast
129,Magikarp,Water,,200,20,10,55,15,20,80,,Very Weak (<300),Water,False,0.3,1.4000000000000001,Average
130,Gyarados,Water,Dark,640,95,155,109,70,130,81,Mega,Very Strong (580-699),Water / Dark,True,91.60000000000001,96.6,Average
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,,Strong (500-579),Water / Flying,True,74.0,80.80000000000001,Average
131,Lapras,Water,Ice,535,130,85,80,85,95,60,,Strong (500-579),Water / Ice,True,63.3,91.2,Slow
132,Ditto,Normal,,288,48,48,48,48,48,48,,Very Weak (<300),Normal,False,14.499999999999998,14.299999999999999,Slow
133,Eevee,Normal,,435,65,75,70,65,85,75,Partner,Average (400-499),Normal,False,41.6,52.2,Average
133,Eevee,Normal,,325,55,55,50,45,65,55,,Weak (300-399),Normal,False,16.6,26.900000000000002,Slow
134,Vaporeon,Water,,525,130,65,60,110,95,65,,Strong (500-579),Water,False,67.0,85.3,Slow
135,Jolteon,Electric,,525,65,65,60,110,95,130,,Strong (500-579),Electric,False,67.0,52.2,Fast
136,Flareon,Fire,,525,65,130,60,95,110,65,,Strong (500-579),Fire,False,91.60000000000001,59.199999999999996,Slow
137,Porygon,Normal,,395,65,60,70,85,75,40,,Weak (300-399),Normal,False,46.0,46.1,Very Slow
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,,Weak (300-399),Rock / Water,True,34.699999999999996,36.4,Very Slow
139,Omastar,Rock,Water,495,70,60,125,115,70,55,,Average (400-499),Rock / Water,True,67.0,76.1,Slow
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,,Weak (300-399),Rock / Water,True,37.6,24.099999999999998,Slow
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,,Average (400-499),Rock / Water,True,70.3,59.199999999999996,Average
142,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,Mega,Very Strong (580-699),Rock / Flying,True,85.2,73.0,Very Fast
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,,Strong (500-579),Rock / Flying,True,59.5,52.2,Fast
143,Snorlax,Normal,,540,160,110,65,65,110,30,,Strong (500-579),Normal,False,67.0,96.8,Very Slow
144,Articuno,Psychic,Flying,580,90,85,85,125,100,95,Galarian,Strong (500-579),Psychic / Flying,True,87.3,81.8,Average
144,ArticunoIce,Flying,,580,90,85,100,95,125,85,,Strong (500-579),Flying,False,70.3,93.5,Average
145,Zapdos,Fighting,Flying,580,90,125,90,85,90,100,Galarian,Strong (500-579),Fighting / Flying,True,87.3,78.9,Average
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,,Strong (500-579),Electric / Flying,True,89.0,76.1,Average
146,Moltres,Dark,Flying,580,90,85,90,100,125,90,Galarian,Strong (500-579),Dark / Flying,True,74.0,91.2,Average
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,,Strong (500-579),Fire / Flying,True,91.60000000000001,76.1,Average
147,Dratini,Dragon,,300,41,64,45,50,50,50,,Very Weak (<300),Dragon,False,24.8,11.899999999999999,Slow
148,Dragonair,Dragon,,420,61,84,65,70,70,70,,Average (400-499),Dragon,False,52.300000000000004,40.1,Slow
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,,Very Strong (580-699),Dragon / Flying,True,93.2,85.9,Average
150,Mewtwo,Psychic,Fighting,780,106,190,100,154,100,130,Mega X,Legendary (700+),Psychic / Fighting,True,99.9,91.8,Fast
150,Mewtwo,Psychic,,780,106,150,70,194,120,140,Mega Y,Legendary (700+),Psychic,False,99.9,88.7,Very Fast
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,,Very Strong (580-699),Psychic,False,97.39999999999999,85.9,Fast
151,Mew,Psychic,,600,100,100,100,100,100,100,,Very Strong (580-699),Psychic,False,82.69999999999999,89.9,Average
152,Chikorita,Grass,,318,45,49,65,49,65,45,,Weak (300-399),Grass,False,15.0,29.4,Very Slow
153,Bayleef,Grass,,405,60,62,80,63,80,60,,Average (400-499),Grass,False,32.1,52.2,Slow
154,Meganium,Grass,,525,80,82,100,83,100,80,,Strong (500-579),Grass,False,59.5,83.6,Average
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,,Weak (300-399),Fire,False,24.4,10.6,Slow
156,Quilava,Fire,,405,58,64,58,80,65,80,,Average (400-499),Fire,False,44.4,32.5,Average
157,Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,Hisuian,Strong (500-579),Fire / Ghost,True,84.39999999999999,60.0,Average
157,Typhlosion,Fire,,534,78,84,78,109,85,100,,Strong (500-579),Fire,False,78.4,63.7,Average
158,Totodile,Water,,314,50,65,64,44,48,43,,Weak (300-399),Water,False,21.2,22.8,Very Slow
159,Croconaw,Water,,405,65,80,80,59,63,58,,Average (400-499),Water,False,39.7,44.800000000000004,Slow
160,Feraligatr,Water,,530,85,105,100,79,83,78,,Strong (500-579),Water,False,72.89999999999999,77.60000000000001,Average
161,Sentret,Normal,,215,35,46,34,35,45,20,,Very Weak (<300),Normal,False,7.6,4.0,Very Slow
162,Furret,Normal,,415,85,76,64,45,55,90,,Average (400-499),Normal,False,30.9,42.9,Average
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,,Very Weak (<300),Normal / Flying,True,3.5000000000000004,16.3,Slow
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,,Average (400-499),Normal / Flying,True,38.6,65.4,Slow
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,,Very Weak (<300),Bug / Flying,True,2.7,17.599999999999998,Slow
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,,Weak (300-399),Bug / Flying,True,10.8,48.699999999999996,Average
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,,Very Weak (<300),Bug / Poison,True,16.6,6.1,Very Slow
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,,Weak (300-399),Bug / Poison,True,50.3,46.1,Very Slow
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,,Strong (500-579),Poison / Flying,True,56.3,64.9,Fast
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,,Weak (300-399),Water / Electric,True,13.200000000000001,25.7,Slow
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,,Average (400-499),Water / Electric,True,36.5,71.8,Slow
172,Pichu,Electric,,205,20,40,15,35,35,60,,Very Weak (<300),Electric,False,5.2,0.2,Slow
173,Cleffa,Fairy,,218,50,25,28,45,55,15,,Very Weak (<300),Fairy,False,4.3,10.9,Very Slow
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,,Very Weak (<300),Normal / Fairy,True,4.3,7.6,Very Slow
175,Togepi,Fairy,,245,35,20,65,40,65,20,,Very Weak (<300),Fairy,False,2.7,24.099999999999998,Very Slow
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,,Average (400-499),Fairy / Flying,True,29.2,64.9,Very Slow
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,,Weak (300-399),Psychic / Flying,True,29.2,9.5,Slow
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,,Average (400-499),Psychic / Flying,True,63.3,43.6,Average
179,Mareep,Electric,,280,55,40,40,65,45,35,,Very Weak (<300),Electric,False,19.400000000000002,13.3,Very Slow
180,Flaaffy,Electric,,365,70,55,55,80,60,45,,Weak (300-399),Electric,False,37.6,33.800000000000004,Very Slow
181,Ampharos,Electric,,510,90,75,85,115,90,55,,Strong (500-579),Electric,False,76.3,76.1,Slow
182,Bellossom,Grass,,490,75,80,95,90,100,50,,Average (400-499),Grass,False,63.3,78.9,Slow
183,Marill,Water,Fairy,250,70,20,50,20,50,40,,Very Weak (<300),Water / Fairy,True,0.6,26.900000000000002,Very Slow
