b'# Name Type Total HP Attack Defense Sp. Atk Sp. Def Speed'
b'001 BulbasaurGrass Poison\n318\n45\n49\n49\n65\n65\n45'
b'019 Rattata Alolan RattataDark Normal\n253\n30\n56\n35\n25\n35\n72'
b'020 RaticateNormal \n413\n55\n81\n60\n50\n70\n97'
b'020 Raticate Alolan RaticateDark Normal\n413\n75\n71\n70\n40\n80\n77'
b'021 SpearowNormal Flying\n262\n40\n60\n30\n31\n31\n70'
b'022 FearowNormal Flying\n442\n65\n90\n65\n61\n61\n100'
b'023 EkansPoison \n288\n35\n60\n44\n40\n54\n55'
b'024 ArbokPoison \n448\n60\n95\n69\n65\n79\n80'
b'025 PikachuElectric \n320\n35\n55\n40\n50\n50\n90'
b'025 Pikachu Partner PikachuElectric \n430\n45\n80\n50\n75\n60\n120'
b'026 RaichuElectric \n485\n60\n90\n55\n90\n80\n110'
b'026 Raichu Alolan RaichuElectric Psychic\n485\n60\n85\n50\n95\n85\n110'
b'027 SandshrewGround \n300\n50\n75\n85\n20\n30\n40'
b'027 Sandshrew Alolan SandshrewIce Steel\n300\n50\n75\n90\n10\n35\n40'
b'028 SandslashGround \n450\n75\n100\n110\n45\n55\n65'
b'028 Sandslash Alolan SandslashIce Steel\n450\n75\n100\n120\n25\n65\n65'
b'029 Nidoran\xe2\x99\x80Poison \n275\n55\n47\n52\n40\n40\n41'
b'030 NidorinaPoison \n365\n70\n62\n67\n55\n55\n56'
b'031 NidoqueenPoison Ground\n505\n90\n92\n87\n75\n85\n76'
b'032 Nidoran\xe2\x99\x82Poison \n273\n46\n57\n40\n40\n40\n50'
b'033 NidorinoPoison \n365\n61\n72\n57\n55\n55\n65'
b'034 NidokingPoison Ground\n505\n81\n102\n77\n85\n75\n85'
b'035 ClefairyFairy \n323\n70\n45\n48\n60\n65\n35'
b'036 ClefableFairy \n483\n95\n70\n73\n95\n90\n60'
b'037 VulpixFire \n299\n38\n41\n40\n50\n65\n65'
b'037 Vulpix Alolan VulpixIce \n299\n38\n41\n40\n50\n65\n65'
b'038 NinetalesFire \n505\n73\n76\n75\n81\n100\n100'
b'038 Ninetales Alolan NinetalesIce Fairy\n505\n73\n67\n75\n81\n100\n109'
b'039 JigglypuffNormal Fairy\n270\n115\n45\n20\n45\n25\n20'
b'040 WigglytuffNormal Fairy\n435\n140\n70\n45\n85\n50\n45'
b'041 ZubatPoison Flying\n245\n40\n45\n35\n30\n40\n55'
b'042 GolbatPoison Flying\n455\n75\n80\n70\n65\n75\n90'
b'043 OddishGrass Poison\n320\n45\n50\n55\n75\n65\n30'
b'044 GloomGrass Poison\n395\n60\n65\n70\n85\n75\n40'
b'045 VileplumeGrass Poison\n490\n75\n80\n85\n110\n90\n50'
b'046 ParasBug Grass\n285\n35\n70\n55\n45\n55\n25'
b'047 ParasectBug Grass\n405\n60\n95\n80\n60\n80\n30'
b'048 VenonatBug Poison\n305\n60\n55\n50\n40\n55\n45'
b'049 VenomothBug Poison\n450\n70\n65\n60\n90\n75\n90'
b'050 DiglettGround \n265\n10\n55\n25\n35\n45\n95'
b'050 Diglett Alolan DiglettGround Steel\n265\n10\n55\n30\n35\n45\n90'
b'051 DugtrioGround \n425\n35\n100\n50\n50\n70\n120'
b'051 Dugtrio Alolan DugtrioGround Steel\n425\n35\n100\n60\n50\n70\n110'
b'052 MeowthNormal \n290\n40\n45\n35\n40\n40\n90'
b'052 Meowth Alolan MeowthDark \n290\n40\n35\n35\n50\n40\n90'
b'052 Meowth Galarian MeowthSteel \n290\n50\n65\n55\n40\n40\n40'
b'053 PersianNormal \n440\n65\n70\n60\n65\n65\n115'
b'053 Persian Alolan PersianDark \n440\n65\n60\n60\n75\n65\n115'
b'054 PsyduckWater \n320\n50\n52\n48\n65\n50\n55'
b'055 GolduckWater \n500\n80\n82\n78\n95\n80\n85'
b'056 MankeyFighting \n305\n40\n80\n35\n35\n45\n70'
b'057 PrimeapeFighting \n455\n65\n105\n60\n60\n70\n95'
b'058 GrowlitheFire \n350\n55\n70\n45\n70\n50\n60'
b'058 Growlithe Hisuian GrowlitheFire Rock\n350\n60\n75\n45\n65\n50\n55'
b'059 ArcanineFire \n555\n90\n110\n80\n100\n80\n95'
b'059 Arcanine Hisuian ArcanineFire Rock\n555\n95\n115\n80\n95\n80\n90'
b'060 PoliwagWater \n300\n40\n50\n40\n40\n40\n90'
b'061 PoliwhirlWater \n385\n65\n65\n65\n50\n50\n90'
b'062 PoliwrathWater Fighting\n510\n90\n95\n95\n70\n90\n70'
b'063 AbraPsychic \n310\n25\n20\n15\n105\n55\n90'
b'064 KadabraPsychic \n400\n40\n35\n30\n120\n70\n105'
b'065 AlakazamPsychic \n500\n55\n50\n45\n135\n95\n120'
b'065 Alakazam Mega AlakazamPsychic \n600\n55\n50\n65\n175\n105\n150'
b'066 MachopFighting \n305\n70\n80\n50\n35\n35\n35'
b'067 MachokeFighting \n405\n80\n100\n70\n50\n60\n45'
b'068 MachampFighting \n505\n90\n130\n80\n65\n85\n55'
b'069 BellsproutGrass Poison\n300\n50\n75\n35\n70\n30\n40'
b'070 WeepinbellGrass Poison\n390\n65\n90\n50\n85\n45\n55'
b'071 VictreebelGrass Poison\n490\n80\n105\n65\n100\n70\n70'
b'072 TentacoolWater Poison\n335\n40\n40\n35\n50\n100\n70'
b'073 TentacruelWater Poison\n515\n80\n70\n65\n80\n120\n100'
b'074 GeodudeRock Ground\n300\n40\n80\n100\n30\n30\n20'
b'074 Geodude Alolan GeodudeRock Electric\n300\n40\n80\n100\n30\n30\n20'
b'075 GravelerRock Ground\n390\n55\n95\n115\n45\n45\n35'
b'075 Graveler Alolan GravelerRock Electric\n390\n55\n95\n115\n45\n45\n35'
b'076 GolemRock Ground\n495\n80\n120\n130\n55\n65\n45'
b'076 Golem Alolan GolemRock Electric\n495\n80\n120\n130\n55\n65\n45'
b'077 PonytaFire \n410\n50\n85\n55\n65\n65\n90'
b'077 Ponyta Galarian PonytaPsychic \n410\n50\n85\n55\n65\n65\n90'
b'078 RapidashFire \n500\n65\n100\n70\n80\n80\n105'
b'078 Rapidash Galarian RapidashPsychic Fairy\n500\n65\n100\n70\n80\n80\n105'
b'079 SlowpokeWater Psychic\n315\n90\n65\n65\n40\n40\n15'
b'079 Slowpoke Galarian SlowpokePsychic \n315\n90\n65\n65\n40\n40\n15'
b'080 SlowbroWater Psychic\n490\n95\n75\n110\n100\n80\n30'
b'080 Slowbro Mega SlowbroWater Psychic\n590\n95\n75\n180\n130\n80\n30'
b'080 Slowbro Galarian SlowbroPoison Psychic\n490\n95\n100\n95\n100\n70\n30'
b'081 MagnemiteElectric Steel\n325\n25\n35\n70\n95\n55\n45'
b'082 MagnetonElectric Steel\n465\n50\n60\n95\n120\n70\n70'
b"083 Farfetch'dNormal Flying\n377\n52\n90\n55\n58\n62\n60"
b"083 Farfetch'd Galarian Farfetch'dFighting \n377\n52\n95\n55\n58\n62\n55"
b'084 DoduoNormal Flying\n310\n35\n85\n45\n35\n35\n75'
b'085 DodrioNormal Flying\n470\n60\n110\n70\n60\n60\n110'
b'086 SeelWater \n325\n65\n45\n55\n45\n70\n45'
b'087 DewgongWater Ice\n475\n90\n70\n80\n70\n95\n70'
b'088 GrimerPoison \n325\n80\n80\n50\n40\n50\n25'
b'088 Grimer Alolan GrimerPoison Dark\n325\n80\n80\n50\n40\n50\n25'
b'089 MukPoison \n500\n105\n105\n75\n65\n100\n50'
b'089 Muk Alolan MukPoison Dark\n500\n105\n105\n75\n65\n100\n50'
b'090 ShellderWater \n305\n30\n65\n100\n45\n25\n40'
b'091 CloysterWater Ice\n525\n50\n95\n180\n85\n45\n70'
b'092 GastlyGhost Poison\n310\n30\n35\n30\n100\n35\n80'
b'093 HaunterGhost Poison\n405\n45\n50\n45\n115\n55\n95'
b'094 GengarGhost Poison\n500\n60\n65\n60\n130\n75\n110'
b'094 Gengar Mega GengarGhost Poison\n600\n60\n65\n80\n170\n95\n130'
b'095 OnixRock Ground\n385\n35\n45\n160\n30\n45\n70'
b'096 DrowzeePsychic \n328\n60\n48\n45\n43\n90\n42'
b'097 HypnoPsychic \n483\n85\n73\n70\n73\n115\n67'
b'098 KrabbyWater \n325\n30\n105\n90\n25\n25\n50'
b'099 KinglerWater \n475\n55\n130\n115\n50\n50\n75'
b'100 VoltorbElectric \n330\n40\n30\n50\n55\n55\n100'
b'100 Voltorb Hisuian VoltorbElectric Grass\n330\n40\n30\n50\n55\n55\n100'
b'101 ElectrodeElectric \n490\n60\n50\n70\n80\n80\n150'
b'101 Electrode Hisuian ElectrodeElectric Grass\n490\n60\n50\n70\n80\n80\n150'
b'102 ExeggcuteGrass Psychic\n325\n60\n40\n80\n60\n45\n40'
b'103 ExeggutorGrass Psychic\n530\n95\n95\n85\n125\n75\n55'
b'103 Exeggutor Alolan ExeggutorGrass Dragon\n530\n95\n105\n85\n125\n75\n45'
b'104 CuboneGround \n320\n50\n50\n95\n40\n50\n35'
b'105 MarowakGround \n425\n60\n80\n110\n50\n80\n45'
b'105 Marowak Alolan MarowakFire Ghost\n425\n60\n80\n110\n50\n80\n45'
b'106 HitmonleeFighting \n455\n50\n120\n53\n35\n110\n87'
b'107 HitmonchanFighting \n455\n50\n105\n79\n35\n110\n76'
b'108 LickitungNormal \n385\n90\n55\n75\n60\n75\n30'
b'109 KoffingPoison \n340\n40\n65\n95\n60\n45\n35'
b'110 WeezingPoison \n490\n65\n90\n120\n85\n70\n60'
b'110 Weezing Galarian WeezingPoison Fairy\n490\n65\n90\n120\n85\n70\n60'
b'111 RhyhornGround Rock\n345\n80\n85\n95\n30\n30\n25'
b'112 RhydonGround Rock\n485\n105\n130\n120\n45\n45\n40'
b'113 ChanseyNormal \n450\n250\n5\n5\n35\n105\n50'
b'114 TangelaGrass \n435\n65\n55\n115\n100\n40\n60'
b'115 KangaskhanNormal \n490\n105\n95\n80\n40\n80\n90'
b'115 Kangaskhan Mega KangaskhanNormal \n590\n105\n125\n100\n60\n100\n100'
b'116 HorseaWater \n295\n30\n40\n70\n70\n25\n60'
b'117 SeadraWater \n440\n55\n65\n95\n95\n45\n85'
b'118 GoldeenWater \n320\n45\n67\n60\n35\n50\n63'
b'119 SeakingWater \n450\n80\n92\n65\n65\n80\n68'
b'120 StaryuWater \n340\n30\n45\n55\n70\n55\n85'
b'121 StarmieWater Psychic\n520\n60\n75\n85\n100\n85\n115'
b'122 Mr. MimePsychic Fairy\n460\n40\n45\n65\n100\n120\n90'
b'122 Mr. Mime Galarian Mr. MimeIce Psychic\n460\n50\n65\n65\n90\n90\n100'
b'123 ScytherBug Flying\n500\n70\n110\n80\n55\n80\n105'
b'124 JynxIce Psychic\n455\n65\n50\n35\n115\n95\n95'
b'125 ElectabuzzElectric \n490\n65\n83\n57\n95\n85\n105'
b'126 MagmarFire \n495\n65\n95\n57\n100\n85\n93'
b'127 PinsirBug \n500\n65\n125\n100\n55\n70\n85'
b'127 Pinsir Mega PinsirBug Flying\n600\n65\n155\n120\n65\n90\n105'
b'128 TaurosNormal \n490\n75\n100\n95\n40\n70\n110'
b'128 Tauros Combat BreedFighting \n490\n75\n110\n105\n30\n70\n100'
b'128 Tauros Blaze BreedFighting Fire\n490\n75\n110\n105\n30\n70\n100'
b'128 Tauros Aqua BreedFighting Water\n490\n75\n110\n105\n30\n70\n100'
b'129 MagikarpWater \n200\n20\n10\n55\n15\n20\n80'
b'130 GyaradosWater Flying\n540\n95\n125\n79\n60\n100\n81'
b'130 Gyarados Mega GyaradosWater Dark\n640\n95\n155\n109\n70\n130\n81'
b'131 LaprasWater Ice\n535\n130\n85\n80\n85\n95\n60'
b'132 DittoNormal \n288\n48\n48\n48\n48\n48\n48'
b'133 EeveeNormal \n325\n55\n55\n50\n45\n65\n55'
b'133 Eevee Partner EeveeNormal \n435\n65\n75\n70\n65\n85\n75'
b'134 VaporeonWater \n525\n130\n65\n60\n110\n95\n65'
b'135 JolteonElectric \n525\n65\n65\n60\n110\n95\n130'
b'136 FlareonFire \n525\n65\n130\n60\n95\n110\n65'
b'137 PorygonNormal \n395\n65\n60\n70\n85\n75\n40'
b'138 OmanyteRock Water\n355\n35\n40\n100\n90\n55\n35'
b'139 OmastarRock Water\n495\n70\n60\n125\n115\n70\n55'
b'140 KabutoRock Water\n355\n30\n80\n90\n55\n45\n55'
b'141 KabutopsRock Water\n495\n60\n115\n105\n65\n70\n80'
b'142 AerodactylRock Flying\n515\n80\n105\n65\n60\n75\n130'
b'142 Aerodactyl Mega AerodactylRock Flying\n615\n80\n135\n85\n70\n95\n150'
b'143 SnorlaxNormal \n540\n160\n110\n65\n65\n110\n30'
b'144 ArticunoIce Flying\n580\n90\n85\n100\n95\n125\n85'
b'144 Articuno Galarian ArticunoPsychic Flying\n580\n90\n85\n85\n125\n100\n95'
b'145 ZapdosElectric Flying\n580\n90\n90\n85\n125\n90\n100'
b'145 Zapdos Galarian ZapdosFighting Flying\n580\n90\n125\n90\n85\n90\n100'
b'146 MoltresFire Flying\n580\n90\n100\n90\n125\n85\n90'
b'146 Moltres Galarian MoltresDark Flying\n580\n90\n85\n90\n100\n125\n90'
b'147 DratiniDragon \n300\n41\n64\n45\n50\n50\n50'
b'148 DragonairDragon \n420\n61\n84\n65\n70\n70\n70'
b'149 DragoniteDragon Flying\n600\n91\n134\n95\n100\n100\n80'
b'150 MewtwoPsychic \n680\n106\n110\n90\n154\n90\n130'
b'150 Mewtwo Mega Mewtwo XPsychic Fighting\n780\n106\n190\n100\n154\n100\n130'
b'150 Mewtwo Mega Mewtwo YPsychic \n780\n106\n150\n70\n194\n120\n140'
b'151 MewPsychic \n600\n100\n100\n100\n100\n100\n100'
b'152 ChikoritaGrass \n318\n45\n49\n65\n49\n65\n45'
b'153 BayleefGrass \n405\n60\n62\n80\n63\n80\n60'
b'154 MeganiumGrass \n525\n80\n82\n100\n83\n100\n80'
b'155 CyndaquilFire \n309\n39\n52\n43\n60\n50\n65'
b'156 QuilavaFire \n405\n58\n64\n58\n80\n65\n80'
b'157 TyphlosionFire \n534\n78\n84\n78\n109\n85\n100'
b'157 Typhlosion Hisuian TyphlosionFire Ghost\n534\n73\n84\n78\n119\n85\n95'
b'158 TotodileWater \n314\n50\n65\n64\n44\n48\n43'
b'159 CroconawWater \n405\n65\n80\n80\n59\n63\n58'
b'160 FeraligatrWater \n530\n85\n105\n100\n79\n83\n78'
b'161 SentretNormal \n215\n35\n46\n34\n35\n45\n20'
b'162 FurretNormal \n415\n85\n76\n64\n45\n55\n90'
b'163 HoothootNormal Flying\n262\n60\n30\n30\n36\n56\n50'
b'164 NoctowlNormal Flying\n452\n100\n50\n50\n86\n96\n70'
b'165 LedybaBug Flying\n265\n40\n20\n30\n40\n80\n55'
b'166 LedianBug Flying\n390\n55\n35\n50\n55\n110\n85'
b'167 SpinarakBug Poison\n250\n40\n60\n40\n40\n40\n30'
b'168 AriadosBug Poison\n400\n70\n90\n70\n60\n70\n40'
b'169 CrobatPoison Flying\n535\n85\n90\n80\n70\n80\n130'
b'170 ChinchouWater Electric\n330\n75\n38\n38\n56\n56\n67'
b'171 LanturnWater Electric\n460\n125\n58\n58\n76\n76\n67'
b'172 PichuElectric \n205\n20\n40\n15\n35\n35\n60'
b'173 CleffaFairy \n218\n50\n25\n28\n45\n55\n15'
b'174 IgglybuffNormal Fairy\n210\n90\n30\n15\n40\n20\n15'
b'175 TogepiFairy \n245\n35\n20\n65\n40\n65\n20'
b'176 TogeticFairy Flying\n405\n55\n40\n85\n80\n105\n40'
b'177 NatuPsychic Flying\n320\n40\n50\n45\n70\n45\n70'
b'178 XatuPsychic Flying\n470\n65\n75\n70\n95\n70\n95'
b'179 MareepElectric \n280\n55\n40\n40\n65\n45\n35'
b'180 FlaaffyElectric \n365\n70\n55\n55\n80\n60\n45'
b'181 AmpharosElectric \n510\n90\n75\n85\n115\n90\n55'
b'181 Ampharos Mega AmpharosElectric Dragon\n610\n90\n95\n105\n165\n110\n45'
b'182 BellossomGrass \n490\n75\n80\n95\n90\n100\n50'
b'183 MarillWater Fairy\n250\n70\n20\n50\n20\n50\n40'
b'184 AzumarillWater Fairy\n420\n100\n50\n80\n60\n80\n50'
b'185 SudowoodoRock \n410\n70\n100\n115\n30\n65\n30'
b'186 PolitoedWater \n500\n90\n75\n75\n90\n100\n70'
b'187 HoppipGrass Flying\n250\n35\n35\n40\n35\n55\n50'
b'188 SkiploomGrass Flying\n340\n55\n45\n50\n45\n65\n80'
b'189 JumpluffGrass Flying\n460\n75\n55\n70\n55\n95\n110'
b'190 AipomNormal \n360\n55\n70\n55\n40\n55\n85'
b'191 SunkernGrass \n180\n30\n30\n30\n30\n30\n30'
b'192 SunfloraGrass \n425\n75\n75\n55\n105\n85\n30'
b'193 YanmaBug Flying\n390\n65\n65\n45\n75\n45\n95'
b'194 WooperWater Ground\n210\n55\n45\n45\n25\n25\n15'
b'194 Wooper Paldean WooperPoison Ground\n210\n55\n45\n45\n25\n25\n15'
b'195 QuagsireWater Ground\n430\n95\n85\n85\n65\n65\n35'
b'196 EspeonPsychic \n525\n65\n65\n60\n130\n95\n110'
b'197 UmbreonDark \n525\n95\n65\n110\n60\n130\n65'
b'198 MurkrowDark Flying\n405\n60\n85\n42\n85\n42\n91'
b'199 SlowkingWater Psychic\n490\n95\n75\n80\n100\n110\n30'
b'199 Slowking Galarian SlowkingPoison Psychic\n490\n95\n65\n80\n110\n110\n30'
b'200 MisdreavusGhost \n435\n60\n60\n60\n85\n85\n85'
b'201 UnownPsychic \n336\n48\n72\n48\n72\n48\n48'
b'202 WobbuffetPsychic \n405\n190\n33\n58\n33\n58\n33'
b'203 GirafarigNormal Psychic\n455\n70\n80\n65\n90\n65\n85'
b'204 PinecoBug \n290\n50\n65\n90\n35\n35\n15'
b'205 ForretressBug Steel\n465\n75\n90\n140\n60\n60\n40'
b'206 DunsparceNormal \n415\n100\n70\n70\n65\n65\n45'
b'207 GligarGround Flying\n430\n65\n75\n105\n35\n65\n85'
b'208 SteelixSteel Ground\n510\n75\n85\n200\n55\n65\n30'
b'208 Steelix Mega SteelixSteel Ground\n610\n75\n125\n230\n55\n95\n30'
b'209 SnubbullFairy \n300\n60\n80\n50\n40\n40\n30'
b'210 GranbullFairy \n450\n90\n120\n75\n60\n60\n45'
b'211 QwilfishWater Poison\n440\n65\n95\n85\n55\n55\n85'
b'211 Qwilfish Hisuian QwilfishDark Poison\n440\n65\n95\n85\n55\n55\n85'
b'212 ScizorBug Steel\n500\n70\n130\n100\n55\n80\n65'
b'212 Scizor Mega ScizorBug Steel\n600\n70\n150\n140\n65\n100\n75'
b'213 ShuckleBug Rock\n505\n20\n10\n230\n10\n230\n5'
b'214 HeracrossBug Fighting\n500\n80\n125\n75\n40\n95\n85'
b'214 Heracross Mega HeracrossBug Fighting\n600\n80\n185\n115\n40\n105\n75'
b'215 SneaselDark Ice\n430\n55\n95\n55\n35\n75\n115'
b'215 Sneasel Hisuian SneaselFighting Poison\n430\n55\n95\n55\n35\n75\n115'
b'216 TeddiursaNormal \n330\n60\n80\n50\n50\n50\n40'
b'217 UrsaringNormal \n500\n90\n130\n75\n75\n75\n55'
b'218 SlugmaFire \n250\n40\n40\n40\n70\n40\n20'
b'219 MagcargoFire Rock\n430\n60\n50\n120\n90\n80\n30'
b'220 SwinubIce Ground\n250\n50\n50\n40\n30\n30\n50'
b'221 PiloswineIce Ground\n450\n100\n100\n80\n60\n60\n50'
b'222 CorsolaWater Rock\n410\n65\n55\n95\n65\n95\n35'
b'222 Corsola Galarian CorsolaGhost \n410\n60\n55\n100\n65\n100\n30'
b'223 RemoraidWater \n300\n35\n65\n35\n65\n35\n65'
b'224 OctilleryWater \n480\n75\n105\n75\n105\n75\n45'
b'225 DelibirdIce Flying\n330\n45\n55\n45\n65\n45\n75'
b'226 MantineWater Flying\n485\n85\n40\n70\n80\n140\n70'
b'227 SkarmorySteel Flying\n465\n65\n80\n140\n40\n70\n70'
b'228 HoundourDark Fire\n330\n45\n60\n30\n80\n50\n65'
b'229 HoundoomDark Fire\n500\n75\n90\n50\n110\n80\n95'
b'229 Houndoom Mega HoundoomDark Fire\n600\n75\n90\n90\n140\n90\n115'
b'230 KingdraWater Dragon\n540\n75\n95\n95\n95\n95\n85'
b'231 PhanpyGround \n330\n90\n60\n60\n40\n40\n40'
b'232 DonphanGround \n500\n90\n120\n120\n60\n60\n50'
b'233 Porygon2Normal \n515\n85\n80\n90\n105\n95\n60'
b'234 StantlerNormal \n465\n73\n95\n62\n85\n65\n85'
b'235 SmeargleNormal \n250\n55\n20\n35\n20\n45\n75'
b'236 TyrogueFighting \n210\n35\n35\n35\n35\n35\n35'
b'237 HitmontopFighting \n455\n50\n95\n95\n35\n110\n70'
b'238 SmoochumIce Psychic\n305\n45\n30\n15\n85\n65\n65'
b'239 ElekidElectric \n360\n45\n63\n37\n65\n55\n95'
b'240 MagbyFire \n365\n45\n75\n37\n70\n55\n83'
b'241 MiltankNormal \n490\n95\n80\n105\n40\n70\n100'
b'242 BlisseyNormal \n540\n255\n10\n10\n75\n135\n55'
b'243 RaikouElectric \n580\n90\n85\n75\n115\n100\n115'
b'244 EnteiFire \n580\n115\n115\n85\n90\n75\n100'
b'245 SuicuneWater \n580\n100\n75\n115\n90\n115\n85'
b'246 LarvitarRock Ground\n300\n50\n64\n50\n45\n50\n41'
b'247 PupitarRock Ground\n410\n70\n84\n70\n65\n70\n51'
b'248 TyranitarRock Dark\n600\n100\n134\n110\n95\n100\n61'
b'248 Tyranitar Mega TyranitarRock Dark\n700\n100\n164\n150\n95\n120\n71'
b'249 LugiaPsychic Flying\n680\n106\n90\n130\n90\n154\n110'
b'250 Ho-ohFire Flying\n680\n106\n130\n90\n110\n154\n90'
b'251 CelebiPsychic Grass\n600\n100\n100\n100\n100\n100\n100'
b'252 TreeckoGrass \n310\n40\n45\n35\n65\n55\n70'
b'253 GrovyleGrass \n405\n50\n65\n45\n85\n65\n95'
b'254 SceptileGrass \n530\n70\n85\n65\n105\n85\n120'
b'254 Sceptile Mega SceptileGrass Dragon\n630\n70\n110\n75\n145\n85\n145'
b'255 TorchicFire \n310\n45\n60\n40\n70\n50\n45'
b'256 CombuskenFire Fighting\n405\n60\n85\n60\n85\n60\n55'
b'257 BlazikenFire Fighting\n530\n80\n120\n70\n110\n70\n80'
b'257 Blaziken Mega BlazikenFire Fighting\n630\n80\n160\n80\n130\n80\n100'
b'258 MudkipWater \n310\n50\n70\n50\n50\n50\n40'
b'259 MarshtompWater Ground\n405\n70\n85\n70\n60\n70\n50'
b'260 SwampertWater Ground\n535\n100\n110\n90\n85\n90\n60'
b'260 Swampert Mega SwampertWater Ground\n635\n100\n150\n110\n95\n110\n70'
b'261 PoochyenaDark \n220\n35\n55\n35\n30\n30\n35'
b'262 MightyenaDark \n420\n70\n90\n70\n60\n60\n70'
b'263 ZigzagoonNormal \n240\n38\n30\n41\n30\n41\n60'
b'263 Zigzagoon Galarian ZigzagoonDark Normal\n240\n38\n30\n41\n30\n41\n60'
b'264 LinooneNormal \n420\n78\n70\n61\n50\n61\n100'
b'264 Linoone Galarian LinooneDark Normal\n420\n78\n70\n61\n50\n61\n100'
b'265 WurmpleBug \n195\n45\n45\n35\n20\n30\n20'
b'266 SilcoonBug \n205\n50\n35\n55\n25\n25\n15'
b'267 BeautiflyBug Flying\n395\n60\n70\n50\n100\n50\n65'
b'268 CascoonBug \n205\n50\n35\n55\n25\n25\n15'
b'269 DustoxBug Poison\n385\n60\n50\n70\n50\n90\n65'
b'270 LotadWater Grass\n220\n40\n30\n30\n40\n50\n30'
b'271 LombreWater Grass\n340\n60\n50\n50\n60\n70\n50'
b'272 LudicoloWater Grass\n480\n80\n70\n70\n90\n100\n70'
b'273 SeedotGrass \n220\n40\n40\n50\n30\n30\n30'
b'274 NuzleafGrass Dark\n340\n70\n70\n40\n60\n40\n60'
b'275 ShiftryGrass Dark\n480\n90\n100\n60\n90\n60\n80'
b'276 TaillowNormal Flying\n270\n40\n55\n30\n30\n30\n85'
b'277 SwellowNormal Flying\n455\n60\n85\n60\n75\n50\n125'
b'278 WingullWater Flying\n270\n40\n30\n30\n55\n30\n85'
b'279 PelipperWater Flying\n440\n60\n50\n100\n95\n70\n65'
b'280 RaltsPsychic Fairy\n198\n28\n25\n25\n45\n35\n40'
b'281 KirliaPsychic Fairy\n278\n38\n35\n35\n65\n55\n50'
b'282 GardevoirPsychic Fairy\n518\n68\n65\n65\n125\n115\n80'
b'282 Gardevoir Mega GardevoirPsychic Fairy\n618\n68\n85\n65\n165\n135\n100'
b'283 SurskitBug Water\n269\n40\n30\n32\n50\n52\n65'
b'284 MasquerainBug Flying\n454\n70\n60\n62\n100\n82\n80'
b'285 ShroomishGrass \n295\n60\n40\n60\n40\n60\n35'
b'286 BreloomGrass Fighting\n460\n60\n130\n80\n60\n60\n70'
b'287 SlakothNormal \n280\n60\n60\n60\n35\n35\n30'
b'288 VigorothNormal \n440\n80\n80\n80\n55\n55\n90'
b'289 SlakingNormal \n670\n150\n160\n100\n95\n65\n100'
b'290 NincadaBug Ground\n266\n31\n45\n90\n30\n30\n40'
b'291 NinjaskBug Flying\n456\n61\n90\n45\n50\n50\n160'
b'292 ShedinjaBug Ghost\n236\n1\n90\n45\n30\n30\n40'
b'293 WhismurNormal \n240\n64\n51\n23\n51\n23\n28'
b'294 LoudredNormal \n360\n84\n71\n43\n71\n43\n48'
b'295 ExploudNormal \n490\n104\n91\n63\n91\n73\n68'
b'296 MakuhitaFighting \n237\n72\n60\n30\n20\n30\n25'
b'297 HariyamaFighting \n474\n144\n120\n60\n40\n60\n50'
b'298 AzurillNormal Fairy\n190\n50\n20\n40\n20\n40\n20'
b'299 NosepassRock \n375\n30\n45\n135\n45\n90\n30'
